comprobante,fecha,producto,categoria,cantidad,precio_unitario,total
C001,2025-09-01,Smartphone X,Electrónica,1,226934,226934
C002,2025-09-02,Laptop Y,Electrónica,2,350000,700000
C003,2025-09-03,Remera Oversize,Ropa,1,463728,463728
C004,2025-09-04,Jeans Slim,Ropa,3,287073,861219
C005,2025-09-05,Casco Moto,Accesorios,1,224702,224702
C006,2025-09-06,Auriculares Inalámbricos,Electrónica,2,402075,804150
C007,2025-09-07,Zapatillas Running,Calzado,1,37999,37999
C008,2025-09-08,Mochila Escolar,Accesorios,3,12999,38997
C009,2025-09-09,Camiseta Deportiva,Ropa,2,15999,31998
C010,2025-09-10,Gorra Casual,Accesorios,1,8999,8999
C011,2025-09-11,Zapatillas Casual,Calzado,1,169761,169761
C012,2025-09-12,Teclado Mecánico,Electrónica,1,172172,172172
C013,2025-09-13,Mouse Inalámbrico,Electrónica,3,117746,353238
C014,2025-09-14,Smartwatch C,Electrónica,2,244948,489896
C015,2025-09-15,Remera Sport,Ropa,3,59852,179556
C016,2025-09-16,Smartwatch C,Electrónica,1,73181,73181
C017,2025-09-17,Remera Sport,Ropa,1,144027,144027
C018,2025-09-18,Zapatillas Trekking,Calzado,3,218157,654471
C019,2025-09-19,Calzado Formal,Calzado,1,155733,155733
C020,2025-09-20,Camiseta Vintage,Ropa,2,19387,38774
C021,2025-09-21,Jeans Relax,Ropa,2,296212,592424
C022,2025-09-22,Camiseta Vintage,Ropa,3,216268,648804
C023,2025-09-23,Backpack Pro,Accesorios,3,285799,857397
C024,2025-09-24,Smartphone X,Electrónica,2,197403,394806
C025,2025-09-25,Remera Básica,Ropa,3,175225,525675
C026,2025-09-26,Calzado Urbano,Calzado,2,19001,38002
C027,2025-09-27,Zapatillas Urban,Calzado,1,320402,320402
C028,2025-09-28,Mochila Compacta,Accesorios,3,266214,798642
C029,2025-09-29,Zapatillas Trekking,Calzado,1,136406,136406
C030,2025-09-30,Calzado Formal,Calzado,1,370782,370782
C031,2025-10-01,Casco Moto,Accesorios,2,106212,212424
C032,2025-10-02,Backpack Pro,Accesorios,1,163535,163535
C033,2025-10-03,Calzado Formal,Calzado,3,185504,556512
C034,2025-10-04,Backpack City,Accesorios,2,144370,288740
C035,2025-10-05,Casco Moto,Accesorios,2,355717,711434
C036,2025-10-06,Calzado Formal,Calzado,1,123339,123339
C037,2025-10-07,Smartwatch C,Electrónica,3,76745,230235
C038,2025-10-08,Gorra Casual,Accesorios,2,121042,242084
C039,2025-10-09,Calzado Urbano,Calzado,1,261887,261887
C040,2025-10-10,Chaqueta Invierno,Ropa,1,116002,116002
C041,2025-10-11,Audífonos Gaming,Electrónica,3,227611,682833
C042,2025-10-12,Casco Moto,Accesorios,3,381179,1143537
C043,2025-10-13,Calzado Formal,Calzado,3,239448,718344
C044,2025-10-14,Mochila Compacta,Accesorios,2,171625,343250
C045,2025-10-15,Smartphone A,Electrónica,2,261498,522996
C046,2025-10-16,Laptop Y,Electrónica,2,305546,611092
C047,2025-10-17,Botines Invierno,Calzado,1,393993,393993
C048,2025-10-18,Smartphone X,Electrónica,2,360451,720902
C049,2025-10-19,Riñonera Urbana,Accesorios,1,33820,33820
C050,2025-10-20,Backpack City,Accesorios,1,141151,141151
C051,2025-10-21,Sandalias Deportivas,Calzado,2,248571,497142
C052,2025-10-22,Zapatillas Fitness,Calzado,3,347913,1043739
C053,2025-10-23,Smartphone A,Electrónica,2,236816,473632
C054,2025-10-24,Tablet Pro,Electrónica,3,252360,757080
C055,2025-10-25,Teclado Mecánico,Electrónica,3,390798,1172394
C056,2025-10-26,Gorra Deportiva,Accesorios,3,317423,952269
C057,2025-10-27,Camiseta Vintage,Ropa,3,119608,358824
C058,2025-10-28,Riñonera Urbana,Accesorios,1,356111,356111
C059,2025-10-29,Zapatillas Fitness,Calzado,2,146732,293464
C060,2025-10-30,Camiseta Vintage,Ropa,3,225618,676854
C061,2025-10-31,Tablet Z,Electrónica,2,331140,662280
C062,2025-11-01,Mochila Escolar,Accesorios,3,238734,716202
C063,2025-11-02,Pantalón Cargo,Ropa,1,142533,142533
C064,2025-11-03,Smartwatch A,Electrónica,3,249501,748503
C065,2025-11-04,Tablet Z,Electrónica,3,53658,160974
C066,2025-11-05,Smartphone A,Electrónica,3,86744,260232
C067,2025-11-06,Remera Básica,Ropa,2,295593,591186
C068,2025-11-07,Chaqueta Invierno,Ropa,2,26837,53674
C069,2025-11-08,Zapatillas Urban,Calzado,2,399367,798734
C070,2025-11-09,Calzado Formal,Calzado,3,310438,931314
C071,2025-11-10,Zapatillas Casual,Calzado,2,295118,590236
C072,2025-11-11,Smartphone X,Electrónica,3,351426,1054278
C073,2025-11-12,Audífonos Gaming,Electrónica,3,208949,626847
C074,2025-11-13,Mochila Compacta,Accesorios,3,363441,1090323
C075,2025-11-14,Zapatillas Casual,Calzado,3,174525,523575
C076,2025-11-15,Backpack Pro,Accesorios,3,340001,1020003
C077,2025-11-16,Smartphone X,Electrónica,3,119591,358773
C078,2025-11-17,Gorra Deportiva,Accesorios,3,262832,788496
C079,2025-11-18,Botines Invierno,Calzado,3,259143,777429
C080,2025-11-19,Smartwatch C,Electrónica,1,340326,340326
C081,2025-11-20,Camiseta Vintage,Ropa,3,234359,703077
C082,2025-11-21,Botas Cuero,Calzado,1,341619,341619
C083,2025-11-22,Remera Sport,Ropa,1,31011,31011
C084,2025-11-23,Calzado Formal,Calzado,2,152179,304358
C085,2025-11-24,Tablet Z,Electrónica,3,115936,347808
C086,2025-11-25,Chaqueta Outdoor,Ropa,2,383665,767330
C087,2025-11-26,Gorra Deportiva,Accesorios,3,385164,1155492
C088,2025-11-27,Chaqueta Invierno,Ropa,2,379530,759060
C089,2025-11-28,Tablet Z,Electrónica,2,305691,611382
C090,2025-11-29,Pantalón Cargo,Ropa,1,223880,223880
C091,2025-11-30,Gorra Deportiva,Accesorios,1,340166,340166
C092,2025-12-01,Remera Sport,Ropa,3,68899,206697
C093,2025-12-02,Audífonos Gaming,Electrónica,3,16715,50145
C094,2025-12-03,Remera Sport,Ropa,2,368688,737376
C095,2025-12-04,Casco Moto,Accesorios,3,97784,293352
C096,2025-12-05,Casco Moto,Accesorios,1,144690,144690
C097,2025-12-06,Zapatillas Running,Calzado,1,156709,156709
C098,2025-12-07,Smartphone A,Electrónica,3,91692,275076
C099,2025-12-08,Jeans Relax,Ropa,3,232763,698289
C100,2025-12-09,Chaqueta Outdoor,Ropa,3,107696,323088
